id_partida,id_league,referee,date,Stadium,Home_Team,home.id,Away_Team,away.id,home.winner,Gols_Home,Gols_Away,Half_Time_Gols_Home,Half_Time_Gols_Away,Empate
688973,71,Marcelo de Lima Henrique,2021-06-27T23:00:00+00:00,Arena do Grêmio,Gremio,130,Fortaleza EC,154,False,0,0,0,0,1
688976,71,Vinicius Gomes,2021-06-27T23:00:00+00:00,Arena da Baixada,Atletico Paranaense,134,Chapecoense-sc,132,False,2,2,1,1,1
688975,71,Marielson Alves Silva,2021-06-27T23:30:00+00:00,Estádio Adelmar da Costa Carvalho,Sport Recife,123,Cuiaba,1193,False,0,0,0,0,1
688972,71,Braulio da Silva Machado,2021-06-27T23:30:00+00:00,Estádio Raimundo Sampaio,America Mineiro,125,Internacional,119,False,1,1,1,0,1
688971,71,Bruno Arleu de Araujo,2021-06-27T23:30:00+00:00,Estádio Urbano Caldeira,Santos,128,Atletico-MG,1062,True,2,0,0,0,0
688974,71,Felipe Fernandes de Lima,2021-06-27T23:30:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Ceara,129,Sao Paulo,126,False,1,1,1,0,1
688978,71,Ramon Abatti,2021-06-28T23:00:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,RB Bragantino,794,False,0,1,0,0,0
688979,71,Ricardo Marques Ribeiro,2021-06-30T19:00:00+00:00,Estádio Municipal General Raulino de Oliveira,Fluminense,124,Atletico Paranaense,134,False,1,4,1,1,0
688984,71,Antonio Dib Moraes de Sousa,2021-06-30T19:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,Chapecoense-sc,132,True,3,2,0,1,0
688985,71,Leo Simão,2021-06-30T22:00:00+00:00,Estádio Governador Roberto Santos,Bahia,118,America Mineiro,125,False,3,4,1,2,0
688983,71,Paulo Roberto Alves Júnior,2021-06-30T22:00:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Palmeiras,121,False,1,2,0,1,0
688981,71,Douglas Schwengber,2021-06-30T23:30:00+00:00,Estádio Urbano Caldeira,Santos,128,Sport Recife,123,False,0,0,0,0,1
688980,71,Leandro Vuaden,2021-07-01T00:30:00+00:00,Neo Química Arena,Corinthians,131,Sao Paulo,126,False,0,0,0,0,1
688987,71,Vinicius Gonçalves Dias Araujo,2021-07-01T00:30:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Gremio,130,True,2,0,1,0,0
688986,71,Wagner do Nascimento Magalhaes,2021-07-01T19:00:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Ceara,129,False,0,0,0,0,1
688982,71,Flavio Rodrigues De Souza,2021-07-01T22:00:00+00:00,Estádio Governador Magalhães Pinto,Atletico-MG,1062,Atletico Goianiense,144,True,4,1,3,1,0
688988,71,Rodolpho Toski Marques,2021-07-01T23:00:00+00:00,Arena Pantanal,Cuiaba,1193,Flamengo,127,False,0,2,0,1,0
688992,71,Denis Ribeiro Serafim,2021-07-03T22:00:00+00:00,Estádio Raimundo Sampaio,America Mineiro,125,Santos,128,True,2,0,0,0,0
688996,71,Paulo Cesar Zanovelli,2021-07-03T22:00:00+00:00,Arena da Baixada,Atletico Paranaense,134,Fortaleza EC,154,True,2,1,2,0,0
688990,71,Marcelo de Lima Henrique,2021-07-04T00:00:00+00:00,Neo Química Arena,Corinthians,131,Internacional,119,False,1,1,0,1,1
688997,71,Edina Alves Batista,2021-07-04T14:00:00+00:00,Arena Condá,Chapecoense-sc,132,Bahia,118,False,0,2,0,0,0
688995,71,Caio Max Augusto Vieira,2021-07-04T19:00:00+00:00,Estádio Adelmar da Costa Carvalho,Sport Recife,123,Palmeiras,121,False,0,1,0,1,0
