fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
878233,533,Villarreal,5,10,17,2,11,6,10,3,3.0,62%,2.0,,2.0,493,398,81%,2.46
878248,547,Girona,5,5,13,3,10,3,7,3,2.0,28%,1.0,,1.0,276,218,79%,2.31
878248,541,Real Madrid,3,6,18,9,11,7,6,8,0.0,72%,2.0,,1.0,707,645,91%,1.79
878246,724,Cadiz,4,10,20,6,16,4,8,11,5.0,56%,0.0,0.0,3.0,450,369,82%,1.46
878246,727,Osasuna,4,2,6,0,5,1,15,2,2.0,44%,1.0,1.0,4.0,371,282,76%,1.02
878244,543,Real Betis,1,7,11,3,8,3,13,2,2.0,58%,1.0,,3.0,459,354,77%,0.96
878244,548,Real Sociedad,3,4,10,3,6,4,23,4,1.0,42%,3.0,,1.0,338,247,73%,0.96
878243,530,Atletico Madrid,9,10,24,5,15,9,10,5,0.0,68%,,,1.0,640,563,88%,2.66
878243,798,Mallorca,2,1,6,3,6,0,9,8,1.0,32%,,,6.0,283,194,69%,0.91
878251,546,Getafe,9,9,21,3,15,6,15,4,5.0,45%,2.0,1.0,9.0,370,254,69%,1.54
878251,723,Almeria,11,8,23,4,12,11,9,6,1.0,55%,2.0,0.0,8.0,464,360,78%,1.68
878245,538,Celta Vigo,9,4,15,2,9,6,9,10,5.0,49%,,,1.0,404,327,81%,1.14
878245,797,Elche,1,7,12,4,9,3,12,6,2.0,51%,,,8.0,420,337,80%,1.15
878249,728,Rayo Vallecano,6,2,9,1,6,3,10,3,1.0,40%,1.0,,4.0,318,228,72%,0.73
878249,529,Barcelona,5,1,10,4,5,5,14,9,3.0,60%,4.0,,4.0,488,395,81%,0.87
878247,532,Valencia,6,9,19,4,10,9,16,6,2.0,49%,0.0,,1.0,357,274,77%,0.93
878247,720,Valladolid,2,4,9,3,3,6,17,2,3.0,51%,4.0,,4.0,401,317,79%,0.90
878250,533,Villarreal,13,10,31,8,25,6,14,9,2.0,64%,2.0,0.0,2.0,485,436,90%,3.90
878250,540,Espanyol,4,5,14,5,6,8,10,2,0.0,36%,4.0,1.0,10.0,262,206,79%,0.94
878242,531,Athletic Club,0,3,6,3,4,2,8,8,2.0,55%,3.0,,,453,332,73%,0.30
878242,536,Sevilla,1,1,4,2,3,1,11,2,2.0,45%,3.0,,,368,263,71%,1.04
878256,727,Osasuna,1,8,13,4,9,4,12,4,0.0,51%,3.0,,6.0,404,309,76%,1.43
878256,548,Real Sociedad,7,4,12,1,10,2,15,2,1.0,49%,1.0,,1.0,428,338,79%,1.40
878253,797,Elche,9,8,18,1,14,4,13,3,3.0,51%,1.0,0.0,2.0,363,282,78%,2.77
878253,728,Rayo Vallecano,2,9,14,3,9,5,16,8,3.0,49%,2.0,1.0,5.0,343,275,80%,0.85
878260,541,Real Madrid,8,4,15,3,8,7,12,7,8.0,68%,2.0,,1.0,679,630,93%,2.83
878260,723,Almeria,3,5,9,1,6,3,16,0,0.0,32%,2.0,,4.0,316,266,84%,1.34
878252,529,Barcelona,6,8,15,1,9,6,10,10,3.0,67%,0.0,0.0,1.0,676,599,89%,2.68
878252,543,Real Betis,1,3,4,0,3,1,9,0,3.0,33%,2.0,1.0,3.0,333,267,80%,0.21
878254,724,Cadiz,4,4,8,0,5,3,14,5,1.0,40%,6.0,,2.0,250,170,68%,1.76
878254,532,Valencia,4,8,16,4,12,4,10,6,1.0,60%,2.0,,1.0,365,287,79%,1.27
878259,533,Villarreal,3,4,9,2,7,2,12,4,5.0,52%,1.0,,4.0,456,404,89%,2.28
878259,538,Celta Vigo,5,3,14,6,10,4,11,9,5.0,48%,4.0,,0.0,389,325,84%,0.77
878255,540,Espanyol,8,6,17,3,11,6,12,6,3.0,57%,4.0,,2.0,372,284,76%,2.43
878255,546,Getafe,2,4,7,1,5,2,23,3,2.0,43%,5.0,,7.0,268,170,63%,0.51
878258,720,Valladolid,6,11,19,2,11,8,14,9,5.0,57%,2.0,,1.0,450,397,88%,1.77
878258,530,Atletico Madrid,6,2,9,1,7,2,8,1,1.0,43%,1.0,,4.0,361,294,81%,1.97
878257,798,Mallorca,2,2,9,5,7,2,17,5,2.0,30%,4.0,1.0,5.0,260,180,69%,0.97
878257,531,Athletic Club,6,1,16,9,11,5,8,7,0.0,70%,2.0,0.0,1.0,603,517,86%,1.76
878261,536,Sevilla,5,15,23,3,15,8,14,6,4.0,64%,2.0,,1.0,534,474,89%,2.18
878261,547,Girona,3,4,9,2,7,2,11,1,1.0,36%,1.0,,6.0,314,230,73%,0.79
878264,529,Barcelona,4,13,21,4,14,7,7,11,3.0,76%,,0.0,2.0,640,566,88%,2.80
878264,727,Osasuna,2,4,7,1,3,4,10,0,2.0,24%,,1.0,3.0,208,134,64%,0.42
878267,723,Almeria,4,6,10,0,7,3,8,7,2.0,47%,2.0,,0.0,372,296,80%,1.72
878267,797,Elche,1,10,14,3,11,3,9,13,2.0,53%,2.0,,2.0,412,324,79%,0.98
