id_partida,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
35182,71,"Wagner do Nascimento Magalhaes, Brazil",2017-10-22T19:00:00+00:00,Estádio Mineirão,Cruzeiro,135,Atletico-MG,1062,False,1,3,1,0
35178,71,"Claudio Francisco Lima E. Silva, Brazil",2017-10-22T21:00:00+00:00,Arena Condá,Chapecoense-sc,132,Fluminense,124,True,2,0,1,0
35179,71,"Leandro Pedro Vuaden, Brazil",2017-10-22T21:00:00+00:00,Moisés Lucarelli,Ponte Preta,139,Avai,145,False,1,2,1,2
35177,71,"Rodrigo Batista Raposo, Brazil",2017-10-23T22:00:00+00:00,Estádio Nilton Santos,Botafogo,120,Corinthians,131,True,2,1,0,0
35176,71,"Anderson Daronco, Brazil",2017-10-28T19:00:00+00:00,Pacaembú,Sao Paulo,126,Santos,128,True,2,1,2,1
35175,71,"Ricardo Marques Ribeiro, Brazil",2017-10-28T21:00:00+00:00,Estádio do Maracanã,Flamengo,127,Vasco DA Gama,133,,0,0,0,0
35174,71,"Jailson Macedo Freitas, Brazil",2017-10-29T00:00:00+00:00,Arena da Baixada,Atletico Paranaense,134,Chapecoense-sc,132,,0,0,0,0
35172,71,"Wilton Pereira Sampaio, Brazil",2017-10-29T19:00:00+00:00,Estádio do Maracanã,Fluminense,124,Bahia,118,,1,1,1,1
35173,71,"Marcelo Aparecido Ribeiro de Souza, Brazil",2017-10-29T19:00:00+00:00,Moisés Lucarelli,Ponte Preta,139,Corinthians,131,True,1,0,1,0
35171,71,"Sandro Meira Ricci, Brazil",2017-10-29T19:00:00+00:00,Arena Independência,Atletico-MG,1062,Botafogo,120,,0,0,0,0
35169,71,"Leandro Pedro Vuaden, Brazil",2017-10-29T20:00:00+00:00,Ilha do Retiro,Sport Recife,123,Coritiba,147,False,3,4,2,2
35170,71,"Luiz Flavio De Oliveira, Brazil",2017-10-29T20:00:00+00:00,Estadio Manoel Barradas,Vitoria,136,Atletico Goianiense,144,,1,1,0,1
35168,71,"Dewson Fernando Freitas da Silva, Brazil",2017-10-29T21:00:00+00:00,Estádio da Ressacada,Avai,145,Gremio,130,,2,2,1,2
35167,71,"Heber Roberto Lopes, Brazil",2017-10-30T22:00:00+00:00,Allianz Parque,Palmeiras,121,Cruzeiro,135,,2,2,1,1
35166,71,"Wilton Pereira Sampaio, Brazil",2017-11-04T19:00:00+00:00,Urbano Caldeira,Santos,128,Atletico-MG,1062,True,3,1,1,0
35165,71,"Luiz Flavio De Oliveira, Brazil",2017-11-04T21:00:00+00:00,Estádio Nilton Santos,Botafogo,120,Fluminense,124,False,1,2,1,0
35164,71,"Braulio Da Silva Machado, Brazil",2017-11-04T21:00:00+00:00,Serra Dourada,Atletico Goianiense,144,Sao Paulo,126,False,0,1,0,1
35163,71,"Marcelo De Lima Henrique, Brazil",2017-11-04T23:00:00+00:00,Estádio Couto Pereira,Coritiba,147,Avai,145,True,4,0,2,0
35162,71,"Raphael Claus, Brazil",2017-11-05T19:00:00+00:00,Arena do Grêmio,Gremio,130,Flamengo,127,True,3,1,0,0
35160,71,"Anderson Daronco, Brazil",2017-11-05T19:00:00+00:00,Arena Corinthians,Corinthians,131,Palmeiras,121,True,3,2,3,1
35161,71,"Marcelo Aparecido Ribeiro de Souza, Brazil",2017-11-05T19:00:00+00:00,Estádio Mineirão,Cruzeiro,135,Atletico Paranaense,134,True,1,0,1,0
35159,71,"Wagner do Nascimento Magalhaes, Brazil",2017-11-05T20:00:00+00:00,Arena Fonte Nova,Bahia,118,Ponte Preta,139,True,2,0,1,0
35157,71,"Ricardo Marques Ribeiro, Brazil",2017-11-05T21:00:00+00:00,Arena Condá,Chapecoense-sc,132,Sport Recife,123,,1,1,0,0
35158,71,"Heber Roberto Lopes, Brazil",2017-11-05T21:00:00+00:00,São Januário,Vasco DA Gama,133,Vitoria,136,,1,1,1,0
35156,71,"Sandro Meira Ricci, Brazil",2017-11-08T21:30:00+00:00,Moisés Lucarelli,Ponte Preta,139,Gremio,130,False,0,1,0,0
35155,71,"Pericles Bassols Pegado Cortez, Brazil",2017-11-08T21:30:00+00:00,Estádio da Ressacada,Avai,145,Bahia,118,False,1,2,1,1
35154,71,"Wilton Pereira Sampaio, Brazil",2017-11-08T23:00:00+00:00,Ilha do Retiro,Sport Recife,123,Botafogo,120,False,1,2,0,2
35153,71,"Wagner do Nascimento Magalhaes, Brazil",2017-11-08T23:00:00+00:00,Arena da Baixada,Atletico Paranaense,134,Corinthians,131,False,0,1,0,0
35150,71,"Leandro Bizzio Marinho,",2017-11-08T23:45:00+00:00,Estádio Ilha do Urubu,Flamengo,127,Cruzeiro,135,True,2,0,1,0
35151,71,"Rafael Traci, Brazil",2017-11-08T23:45:00+00:00,Urbano Caldeira,Santos,128,Vasco DA Gama,133,False,1,2,0,0
35152,71,"Dewson Fernando Freitas da Silva, Brazil",2017-11-08T23:45:00+00:00,Estadio Manoel Barradas,Vitoria,136,Palmeiras,121,True,3,1,3,1
35149,71,"Marcelo De Lima Henrique, Brazil",2017-11-09T22:00:00+00:00,Morumbi,Sao Paulo,126,Chapecoense-sc,132,,2,2,0,1
35148,71,"Rodolpho Toski Marques, Brazil",2017-11-09T22:00:00+00:00,Arena Independência,Atletico-MG,1062,Atletico Goianiense,144,True,3,2,1,2
35147,71,"Ricardo Marques Ribeiro, Brazil",2017-11-09T23:00:00+00:00,Estadio Giulite Coutinho,Fluminense,124,Coritiba,147,,2,2,0,1
35146,71,"Anderson Daronco, Brazil",2017-11-11T19:00:00+00:00,Estádio Nilton Santos,Botafogo,120,Atletico Paranaense,134,False,0,1,0,1
35145,71,"Dewson Fernando Freitas da Silva, Brazil",2017-11-11T21:00:00+00:00,Arena Corinthians,Corinthians,131,Avai,145,True,1,0,0,0
35143,71,"Braulio Da Silva Machado, Brazil",2017-11-12T19:00:00+00:00,Allianz Parque,Palmeiras,121,Flamengo,127,True,2,0,2,0
35142,71,"Marcelo Aparecido Ribeiro de Souza, Brazil",2017-11-12T19:00:00+00:00,Arena do Grêmio,Gremio,130,Vitoria,136,,1,1,1,1
35144,71,"Leandro Pedro Vuaden, Brazil",2017-11-12T19:00:00+00:00,São Januário,Vasco DA Gama,133,Sao Paulo,126,,1,1,0,1
35141,71,"Luiz Flavio De Oliveira, Brazil",2017-11-12T19:00:00+00:00,Serra Dourada,Atletico Goianiense,144,Sport Recife,123,True,2,0,1,0
35140,71,"Raphael Claus, Brazil",2017-11-12T20:00:00+00:00,Arena Fonte Nova,Bahia,118,Atletico-MG,1062,,2,2,0,1
35139,71,"Andre Luiz de Freitas Castro, Brazil",2017-11-12T21:00:00+00:00,Estádio Mineirão,Cruzeiro,135,Fluminense,124,True,3,1,1,1
35138,71,"Elmo Alves Resende Cunha, Brazil",2017-11-12T21:00:00+00:00,Estádio Couto Pereira,Coritiba,147,Ponte Preta,139,,1,1,0,0
35137,71,"Jailson Macedo Freitas, Brazil",2017-11-13T22:00:00+00:00,Arena Condá,Chapecoense-sc,132,Santos,128,True,2,0,1,0
35136,71,"Wilton Pereira Sampaio, Brazil",2017-11-15T19:00:00+00:00,Moisés Lucarelli,Ponte Preta,139,Atletico Paranaense,134,True,2,1,1,0
35135,71,"Rodolpho Toski Marques, Brazil",2017-11-15T21:30:00+00:00,Arena do Grêmio,Gremio,130,Sao Paulo,126,True,1,0,1,0
35134,71,"Leandro Pedro Vuaden, Brazil",2017-11-15T21:30:00+00:00,Estádio Mineirão,Cruzeiro,135,Avai,145,,2,2,0,1
35132,71,"Braulio Da Silva Machado, Brazil",2017-11-15T23:45:00+00:00,Arena Corinthians,Corinthians,131,Fluminense,124,True,3,1,0,1
35133,71,"Flavio Rodrigues De Souza, Brazil",2017-11-15T23:45:00+00:00,São Januário,Vasco DA Gama,133,Atletico-MG,1062,,1,1,1,0
35129,71,"Claudio Francisco Lima E. Silva, Brazil",2017-11-16T22:00:00+00:00,Estádio Nilton Santos,Botafogo,120,Atletico Goianiense,144,False,1,2,1,1
35131,71,"Rafael Traci, Brazil",2017-11-16T22:00:00+00:00,Allianz Parque,Palmeiras,121,Sport Recife,123,True,5,1,0,0
35130,71,"Anderson Daronco, Brazil",2017-11-16T22:00:00+00:00,Arena Condá,Chapecoense-sc,132,Vitoria,136,True,2,1,1,1
35127,71,"Sandro Meira Ricci, Brazil",2017-11-16T23:00:00+00:00,Arena Fonte Nova,Bahia,118,Santos,128,True,3,1,1,1
35128,71,"Raphael Claus, Brazil",2017-11-16T23:00:00+00:00,Estádio Couto Pereira,Coritiba,147,Flamengo,127,True,1,0,1,0
35125,71,"Wagner do Nascimento Magalhaes, Brazil",2017-11-19T19:00:00+00:00,Ilha do Retiro,Sport Recife,123,Bahia,118,True,1,0,1,0
