fixture_id,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
1180721,71,Sávio Pereira,2024-12-04T23:00:00+00:00,MorumBIS,Sao Paulo,126,Juventude,152,False,1,2,0,0
1180717,71,Alex Gomes,2024-12-04T23:00:00+00:00,Estádio Manoel Barradas,Vitoria,136,Gremio,130,,1,1,0,1
1180724,71,Wilton Pereira Sampaio,2024-12-04T23:00:00+00:00,Estádio Heriberto Hülse,Criciuma,140,Flamengo,127,False,0,3,0,1
1180715,71,Ramon Abatti,2024-12-05T00:30:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Botafogo,120,False,0,1,0,1
1180716,71,Anderson Daronco,2024-12-05T00:30:00+00:00,Estádio Governador Magalhães Pinto,Cruzeiro,135,Palmeiras,121,False,1,2,0,0
1180723,71,Lucas Casagrande,2024-12-05T00:30:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,Fortaleza EC,154,True,3,1,1,1
1180718,71,Rafael Rodrigo Klein,2024-12-05T23:00:00+00:00,Estadio Jornalista Mário Filho,Fluminense,124,Cuiaba,1193,True,1,0,0,0
1180722,71,Rodrigo José Pereira de Lima,2024-12-05T23:00:00+00:00,Ligga Arena,Atletico Paranaense,134,RB Bragantino,794,False,1,2,0,1
1180727,71,Gustavo Ervino Bauermann,2024-12-08T19:00:00+00:00,Arena Fonte Nova,Bahia,118,Atletico Goianiense,144,True,2,0,1,0
1180729,71,Anderson Daronco,2024-12-08T19:00:00+00:00,Estádio Nilton Santos,Botafogo,120,Sao Paulo,126,True,2,1,1,0
1180730,71,Ramon Abatti,2024-12-08T19:00:00+00:00,Allianz Parque,Palmeiras,121,Fluminense,124,False,0,1,0,1
1180728,71,Lucas Casagrande,2024-12-08T19:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Vitoria,136,,2,2,0,1
1180725,71,Paulo Cesar Zanovelli da Silva,2024-12-08T19:00:00+00:00,Arena do Grêmio,Gremio,130,Corinthians,131,False,0,3,0,1
1180734,71,Edina Alves Batista,2024-12-08T19:00:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Cruzeiro,135,False,0,1,0,1
1180732,71,Matheus Delgado Candançan,2024-12-08T19:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,Internacional,119,True,3,0,2,0
1180731,71,Sávio Pereira,2024-12-08T19:00:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Criciuma,140,True,5,1,2,1
1180726,71,Rafael Rodrigo Klein,2024-12-08T19:00:00+00:00,Arena MRV,Atletico-MG,1062,Atletico Paranaense,134,True,1,0,0,0
1180733,71,Thaillan Azevedo Gomes,2024-12-08T19:00:00+00:00,Arena Pantanal,Cuiaba,1193,Vasco DA Gama,133,False,1,2,1,2
