fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
327995,121,Palmeiras,1,5,9,3,2.0,7.0,31,3.0,0.0,49%,3.0,,,399.0,328.0,82%
328003,129,Ceara,5,5,11,1,8.0,3.0,17,1.0,1.0,42%,3.0,,7.0,420.0,341.0,81%
328003,130,Gremio,8,4,14,2,10.0,4.0,7,7.0,0.0,58%,1.0,,4.0,574.0,498.0,87%
327997,126,Sao Paulo,3,7,13,3,7.0,6.0,16,5.0,4.0,52%,1.0,,3.0,475.0,415.0,87%
327997,154,Fortaleza EC,3,6,12,3,8.0,4.0,18,7.0,3.0,48%,2.0,,2.0,438.0,378.0,86%
328000,119,Internacional,7,13,25,5,15.0,10.0,28,9.0,2.0,58%,2.0,,1.0,515.0,433.0,84%
328000,128,Santos,1,3,6,2,4.0,2.0,14,4.0,2.0,42%,3.0,,5.0,377.0,301.0,80%
327996,133,Vasco DA Gama,6,2,9,1,4.0,5.0,29,5.0,1.0,45%,2.0,0.0,1.0,363.0,300.0,83%
327996,123,Sport Recife,1,8,13,4,5.0,8.0,17,8.0,4.0,55%,3.0,1.0,4.0,416.0,350.0,84%
328012,147,Coritiba,3,2,8,3,2.0,6.0,25,4.0,2.0,33%,6.0,1.0,6.0,252.0,189.0,75%
328012,127,Flamengo,7,5,18,6,9.0,9.0,16,5.0,1.0,67%,3.0,0.0,3.0,519.0,460.0,89%
328010,130,Gremio,8,9,24,7,17.0,7.0,16,7.0,,47%,2.0,,2.0,485.0,421.0,87%
328010,131,Corinthians,2,2,5,1,4.0,1.0,14,5.0,,53%,3.0,,7.0,571.0,502.0,88%
328007,121,Palmeiras,3,6,12,3,6.0,6.0,11,6.0,,66%,1.0,,4.0,670.0,583.0,87%
328007,151,Goias,5,4,10,1,5.0,5.0,16,2.0,,34%,3.0,,2.0,342.0,258.0,75%
328009,1062,Atletico-MG,6,3,11,2,5.0,6.0,14,4.0,2.0,61%,2.0,,1.0,474.0,392.0,83%
328009,129,Ceara,1,7,13,5,4.0,9.0,15,0.0,1.0,39%,4.0,,3.0,302.0,232.0,77%
328011,118,Bahia,4,4,10,2,6.0,4.0,16,3.0,2.0,42%,1.0,,2.0,376.0,281.0,75%
