fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
1208558,530,Atletico Madrid,4,2,12,6,8,4,11,5,2.0,51%,3.0,1.0,3.0,570,497,87%,1.28,0.0
1208558,541,Real Madrid,4,4,12,4,5,7,11,5,0.0,49%,1.0,0.0,3.0,548,490,89%,0.76,0.0
1208563,533,Villarreal,7,6,20,7,17,3,15,3,5.0,42%,0.0,,2.0,443,385,87%,2.79,0.0
1208563,534,Las Palmas,3,3,7,1,4,3,11,2,1.0,58%,4.0,,4.0,625,566,91%,0.86,0.0
1208569,537,Leganes,0,4,8,4,6,2,15,1,9.0,59%,2.0,,1.0,523,435,83%,0.54,0.0
1208569,532,Valencia,1,4,6,1,4,2,14,2,1.0,41%,2.0,,0.0,355,262,74%,0.76,0.0
1212918,540,Espanyol,3,5,8,0,4,4,14,4,,40%,1.0,,4.0,279,203,73%,0.93,0.0
1212918,798,Mallorca,5,2,11,4,9,2,19,6,,60%,5.0,,1.0,416,351,84%,1.81,0.0
1208566,546,Getafe,3,4,11,4,7,4,17,4,5.0,40%,2.0,,1.0,223,126,57%,0.83,0.0
1208566,727,Osasuna,2,4,6,0,3,3,10,2,0.0,60%,4.0,,2.0,334,229,69%,0.34,0.0
1208573,534,Las Palmas,5,11,25,9,14,11,9,11,1.0,61%,3.0,0.0,0.0,514,443,86%,1.37,0.0
1208573,538,Celta Vigo,1,5,8,2,4,4,13,2,2.0,39%,8.0,2.0,5.0,353,286,81%,0.76,0.0
1208574,720,Valladolid,6,5,13,2,10,3,13,5,1.0,39%,4.0,,1.0,302,245,81%,1.99,0.0
1208574,728,Rayo Vallecano,3,8,17,6,8,9,18,13,2.0,61%,2.0,,4.0,469,398,85%,1.50,0.0
1208567,541,Real Madrid,2,5,11,4,4,7,7,2,1.0,55%,0.0,,1.0,649,595,92%,0.47,-1.0
1208567,533,Villarreal,1,8,12,3,8,4,11,5,3.0,45%,1.0,,0.0,516,470,91%,1.15,-1.0
1208570,547,Girona,6,5,14,3,11,3,12,6,3.0,65%,4.0,0.0,3.0,579,507,88%,2.00,0.0
1208570,531,Athletic Club,4,6,13,3,8,5,13,1,0.0,35%,3.0,1.0,4.0,312,250,80%,3.10,0.0
1208568,542,Alaves,2,5,11,4,7,4,13,11,11.0,28%,2.0,,6.0,230,165,72%,0.74,0.0
1208568,529,Barcelona,9,0,14,5,10,4,8,3,3.0,72%,2.0,,2.0,660,598,91%,2.46,0.0
1208572,536,Sevilla,5,5,14,4,6,8,15,4,2.0,52%,6.0,1.0,3.0,401,309,77%,1.44,0.0
1208572,543,Real Betis,3,7,11,1,6,5,15,1,1.0,48%,3.0,0.0,4.0,372,292,78%,0.61,0.0
1208571,548,Real Sociedad,7,9,16,0,9,7,10,5,2.0,67%,0.0,,0.0,648,581,90%,1.00,0.0
1208571,530,Atletico Madrid,1,3,4,0,2,2,9,1,2.0,33%,2.0,,6.0,333,243,73%,0.54,0.0
1208580,542,Alaves,4,3,10,3,5,5,15,5,3.0,62%,6.0,1.0,1.0,418,325,78%,0.49,0.0
1208580,720,Valladolid,4,5,12,3,9,3,14,6,1.0,38%,2.0,0.0,2.0,247,166,67%,2.50,0.0
1212919,531,Athletic Club,6,4,10,0,7,3,15,5,0.0,57%,2.0,,1.0,480,400,83%,1.31,0.0
1212919,540,Espanyol,2,2,5,1,3,2,22,5,1.0,43%,3.0,,2.0,350,275,79%,0.27,0.0
1208581,727,Osasuna,6,7,19,6,16,3,12,10,4.0,55%,2.0,0.0,4.0,374,287,77%,2.06,0.0
1208581,543,Real Betis,7,3,11,1,11,0,8,2,4.0,45%,1.0,1.0,5.0,322,239,74%,2.42,0.0
1208578,547,Girona,3,4,8,1,7,1,10,6,1.0,47%,2.0,,3.0,428,368,86%,0.39,0.0
1208578,548,Real Sociedad,4,6,14,4,8,6,12,6,1.0,53%,1.0,,3.0,499,443,89%,1.74,0.0
1208577,538,Celta Vigo,5,4,13,4,10,3,16,6,2.0,47%,2.0,,1.0,530,460,87%,1.69,0.0
1208577,541,Real Madrid,3,5,10,2,6,4,13,2,1.0,53%,1.0,,4.0,608,541,89%,0.74,0.0
1208579,798,Mallorca,5,10,19,4,16,3,9,9,2.0,51%,1.0,,2.0,367,279,76%,2.03,0.0
1208579,728,Rayo Vallecano,2,7,10,1,7,3,13,2,0.0,49%,1.0,,4.0,369,279,76%,0.59,0.0
1208575,530,Atletico Madrid,9,8,24,7,15,9,14,8,0.0,63%,5.0,,1.0,568,484,85%,4.51,0.0
1208575,537,Leganes,2,1,5,2,2,3,8,2,1.0,37%,1.0,,5.0,341,260,76%,0.24,0.0
1208582,533,Villarreal,4,5,10,1,8,2,18,5,1.0,57%,4.0,,3.0,367,273,74%,0.91,0.0
1208582,546,Getafe,4,7,21,10,15,6,21,5,1.0,43%,3.0,,3.0,268,194,72%,1.98,0.0
1208576,529,Barcelona,9,8,21,4,14,7,6,5,3.0,67%,1.0,,0.0,613,558,91%,3.86,0.0
1208576,536,Sevilla,1,2,7,4,5,2,14,5,3.0,33%,2.0,,4.0,297,235,79%,0.92,0.0
1208583,532,Valencia,7,4,14,3,11,3,12,11,3.0,47%,3.0,1.0,3.0,413,319,77%,1.65,0.0
1208583,534,Las Palmas,6,2,11,3,5,6,12,2,0.0,53%,9.0,0.0,5.0,491,401,82%,1.14,0.0
1212920,540,Espanyol,1,11,16,4,13,3,14,13,3.0,42%,2.0,,1.0,312,237,76%,1.17,0.0
1212920,536,Sevilla,3,1,6,2,5,1,9,2,0.0,58%,0.0,,1.0,479,395,82%,0.66,0.0
1208591,720,Valladolid,3,4,7,0,4,3,16,4,1.0,45%,4.0,,7.0,412,354,86%,0.94,0.0
1208591,533,Villarreal,9,8,21,4,14,7,13,6,0.0,55%,3.0,,3.0,510,448,88%,2.31,0.0
1208592,728,Rayo Vallecano,4,9,15,2,11,4,8,6,2.0,50%,2.0,1.0,7.0,370,297,80%,1.88,0.0
1208592,542,Alaves,7,5,15,3,9,6,14,2,3.0,50%,4.0,0.0,4.0,372,283,76%,0.94,0.0
1208589,534,Las Palmas,3,7,12,2,8,4,12,3,0.0,43%,4.0,0.0,3.0,367,300,82%,0.90,0.0
1208589,547,Girona,3,2,8,3,5,3,14,5,5.0,57%,5.0,1.0,2.0,474,400,84%,0.56,0.0
1208587,541,Real Madrid,4,4,9,1,5,4,15,10,12.0,41%,2.0,,3.0,311,243,78%,1.48,0.0
1208587,529,Barcelona,7,7,15,1,7,8,17,3,1.0,59%,5.0,,4.0,455,385,85%,2.58,0.0
1208588,537,Leganes,4,2,7,1,5,2,15,4,2.0,39%,2.0,,5.0,363,276,76%,1.62,0.0
1208588,538,Celta Vigo,5,6,18,7,9,9,17,2,2.0,61%,2.0,,1.0,587,493,84%,0.92,0.0
1208584,546,Getafe,4,7,15,4,13,2,20,8,3.0,64%,3.0,,0.0,389,300,77%,2.26,0.0
1208584,532,Valencia,1,0,2,1,2,0,20,2,3.0,36%,7.0,,4.0,232,124,53%,0.60,0.0
1208586,543,Real Betis,3,17,24,4,16,8,8,3,3.0,42%,3.0,,3.0,380,300,79%,1.94,0.0
1208586,530,Atletico Madrid,3,4,10,3,8,2,4,10,1.0,58%,2.0,,3.0,533,415,78%,0.54,0.0
1208590,548,Real Sociedad,9,8,19,2,11,8,7,14,5.0,75%,3.0,,2.0,584,514,88%,1.65,1.0
1208590,727,Osasuna,4,4,10,2,6,4,14,4,0.0,25%,4.0,,9.0,199,128,64%,0.98,1.0
1208585,798,Mallorca,1,2,4,1,4,0,9,1,1.0,33%,5.0,1.0,1.0,272,192,71%,0.61,0.0
1208585,531,Athletic Club,1,11,20,8,12,8,12,14,4.0,67%,1.0,0.0,1.0,537,457,85%,0.59,0.0
1208598,542,Alaves,3,4,13,6,10,3,19,7,0.0,52%,3.0,,2.0,323,227,70%,1.15,0.0
1208598,798,Mallorca,2,3,7,2,4,3,12,2,3.0,48%,2.0,,2.0,305,225,74%,0.51,0.0
1208597,727,Osasuna,4,11,20,5,20,0,21,7,0.0,50%,1.0,,3.0,351,264,75%,2.48,0.0
1208597,720,Valladolid,4,1,7,2,2,5,12,2,2.0,50%,5.0,,3.0,357,276,77%,0.23,0.0
1208596,547,Girona,6,4,15,5,8,7,17,6,1.0,55%,2.0,,2.0,488,419,86%,1.97,-2.0
