fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals
1006003,794,RB Bragantino,6,5,17,6,12,5,9,15,0.0,75%,1.0,2.0,2,611,516,84%,1.54
1006003,154,Fortaleza EC,4,1,6,1,6,0,10,3,2.0,25%,4.0,0.0,5,216,118,55%,0.57
1006012,131,Corinthians,2,4,9,3,8,1,4,5,2.0,49%,2.0,1.0,1,491,428,87%,1.76
1006012,119,Internacional,3,7,11,1,5,6,13,4,1.0,51%,2.0,0.0,1,525,461,88%,1.08
1006014,1062,Atletico-MG,2,2,7,3,6,1,15,3,,48%,4.0,,4,401,342,85%,0.92
1006014,126,Sao Paulo,5,6,16,5,6,10,9,5,,52%,1.0,,0,432,378,88%,1.29
1006011,121,Palmeiras,5,11,22,6,8,14,11,7,1.0,36%,1.0,0.0,2,304,250,82%,1.85
1006011,124,Fluminense,2,3,6,1,1,5,12,1,3.0,64%,2.0,1.0,4,582,522,90%,0.21
1006009,127,Flamengo,6,7,19,6,12,7,13,6,0.0,68%,2.0,,0,654,600,92%,1.52
1006009,1193,Cuiaba,1,0,2,1,1,1,9,2,1.0,32%,0.0,,4,305,256,84%,0.85
1006010,120,Botafogo,2,10,16,4,6,10,17,6,3.0,61%,4.0,,3,528,458,87%,0.69
1006010,135,Cruzeiro,3,4,7,0,4,3,13,2,4.0,39%,3.0,,2,346,268,77%,0.85
1006018,125,America Mineiro,3,5,11,3,4,7,15,2,1.0,43%,2.0,1.0,3,346,273,79%,1.14
1006018,118,Bahia,5,12,26,9,19,7,4,10,3.0,57%,0.0,0.0,0,451,387,86%,3.31
1006015,130,Gremio,5,4,13,4,5,8,18,5,1.0,47%,3.0,,1,385,308,80%,0.79
1006015,133,Vasco DA Gama,1,4,8,3,5,3,12,6,2.0,53%,1.0,,4,419,361,86%,0.83
1006016,134,Atletico Paranaense,6,4,12,2,8,4,18,6,1.0,54%,5.0,,3,407,328,81%,0.96
1006016,128,Santos,3,7,13,3,8,5,15,6,0.0,46%,4.0,,3,335,273,81%,0.64
1006017,154,Fortaleza EC,1,4,6,1,6,0,19,4,2.0,46%,2.0,,1,441,375,85%,1.19
1006017,151,Goias,1,1,5,3,3,2,14,2,0.0,54%,4.0,,0,529,464,88%,0.39
1006013,794,RB Bragantino,9,12,27,6,15,12,16,12,1.0,65%,4.0,,0,468,381,81%,2.11
1006013,147,Coritiba,0,2,6,4,3,3,10,6,1.0,35%,0.0,,8,261,178,68%,0.27
1006023,151,Goias,2,9,14,3,10,4,12,8,3.0,42%,2.0,,3,356,276,78%,0.88
1006023,125,America Mineiro,3,5,11,3,9,2,13,7,2.0,58%,2.0,,1,495,444,90%,0.86
1006027,118,Bahia,6,7,15,2,11,4,16,3,2.0,37%,2.0,,4,318,238,75%,1.50
1006027,1062,Atletico-MG,5,0,7,2,4,3,10,5,3.0,63%,2.0,,2,546,463,85%,0.97
1006025,119,Internacional,3,3,7,1,7,0,10,1,2.0,54%,1.0,,4,567,494,87%,1.29
1006025,120,Botafogo,5,2,9,2,5,4,10,5,3.0,46%,2.0,,0,471,411,87%,0.39
1006019,124,Fluminense,7,12,23,4,14,9,12,7,,70%,3.0,,2,642,600,93%,2.39
1006019,130,Gremio,5,4,12,3,7,5,12,3,,30%,3.0,,5,279,222,80%,2.39
1006021,126,Sao Paulo,3,4,9,2,4,5,13,4,2.0,43%,0.0,,2,406,343,84%,0.55
1006021,127,Flamengo,2,3,10,5,6,4,16,9,0.0,57%,3.0,,2,534,476,89%,0.46
1006022,128,Santos,6,4,15,5,13,2,15,10,4.0,55%,2.0,,5,351,274,78%,1.13
1006022,154,Fortaleza EC,7,4,14,3,5,9,9,6,2.0,45%,3.0,,5,296,209,71%,1.08
1006020,133,Vasco DA Gama,6,4,13,3,11,2,8,2,0.0,46%,3.0,0.0,1,325,254,78%,1.74
1006020,794,RB Bragantino,2,3,9,4,5,4,14,3,1.0,54%,1.0,1.0,4,397,321,81%,0.84
1006024,135,Cruzeiro,6,7,14,1,5,9,9,3,,56%,1.0,,4,446,370,83%,1.41
1006024,121,Palmeiras,5,1,8,2,7,1,19,4,,44%,1.0,,5,348,278,80%,1.30
1006026,147,Coritiba,5,5,13,3,8,5,17,6,0.0,46%,1.0,,4,451,406,90%,0.49
1006026,131,Corinthians,6,6,13,1,8,5,12,6,1.0,54%,0.0,,5,531,479,90%,0.54
1006028,1193,Cuiaba,6,5,14,3,9,5,9,5,3.0,44%,4.0,1.0,3,400,342,86%,2.51
1006028,134,Atletico Paranaense,3,6,17,8,10,7,15,9,2.0,56%,3.0,0.0,3,507,444,88%,0.99
