,fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
505,1180620,144,Atletico Goianiense,3,8,14,3,6,8,17,1,1.0,39%,4.0,0.0,3,374,300,80%,0.71,-1.0
506,1180617,136,Vitoria,2,8,13,3,3,10,12,4,3.0,36%,3.0,0.0,2,264,198,75%,1.09,0.0
507,1180617,152,Juventude,2,6,11,3,6,5,15,5,0.0,64%,4.0,0.0,1,469,405,86%,0.9,0.0
508,1180618,124,Fluminense,5,7,13,1,5,8,13,5,0.0,50%,1.0,0.0,6,410,351,86%,0.39,1.0
509,1180618,120,Botafogo,6,1,9,2,6,3,17,4,3.0,50%,1.0,0.0,5,424,354,83%,1.46,1.0
510,1180622,154,Fortaleza EC,7,1,11,3,9,2,13,2,3.0,37%,2.0,1.0,3,380,317,83%,1.43,0.0
511,1180622,118,Bahia,4,2,9,3,3,6,9,1,4.0,63%,1.0,0.0,3,650,585,90%,0.53,0.0
512,1180619,133,Vasco DA Gama,3,6,10,1,3,7,8,5,0.0,55%,1.0,0.0,2,414,328,79%,0.26,0.0
513,1180619,121,Palmeiras,3,8,14,3,8,6,14,5,2.0,45%,2.0,0.0,3,350,269,77%,1.5,0.0
514,1180616,1062,Atletico-MG,8,5,13,0,9,4,14,4,2.0,50%,2.0,0.0,3,381,288,76%,2.48,0.0
515,1180616,794,RB Bragantino,3,3,8,2,4,4,9,2,1.0,50%,3.0,0.0,5,376,283,75%,0.56,0.0
516,1180621,126,Sao Paulo,2,3,7,2,4,3,18,2,5.0,61%,4.0,0.0,3,458,387,84%,0.62,0.0
517,1180621,119,Internacional,6,4,14,4,10,4,16,4,2.0,39%,1.0,0.0,1,284,213,75%,0.9,0.0
518,1180615,130,Gremio,3,5,12,4,7,5,6,4,1.0,44%,1.0,0.0,6,373,306,82%,1.56,-1.0
519,1180615,127,Flamengo,8,7,20,5,12,8,13,6,1.0,56%,0.0,1.0,1,478,434,91%,1.42,-1.0
520,1180623,1193,Cuiaba,4,5,9,0,3,6,10,4,2.0,48%,0.0,0.0,2,433,370,85%,0.33,0.0
521,1180623,135,Cruzeiro,2,5,13,6,9,4,10,5,0.0,52%,1.0,1.0,4,472,401,85%,0.89,0.0
522,1180624,140,Criciuma,6,11,24,7,16,8,11,12,0.0,64%,2.0,0.0,3,483,395,82%,1.28,1.0
523,1180624,134,Atletico Paranaense,3,5,10,2,6,4,12,1,0.0,36%,2.0,0.0,7,285,188,66%,0.56,1.0
524,1180395,130,Gremio,3,5,14,6,11,3,8,6,0.0,65%,2.0,0.0,2,597,528,88%,1.28,0.0
525,1180395,140,Criciuma,4,5,11,2,3,8,12,3,1.0,35%,5.0,0.0,2,322,259,80%,0.77,0.0
526,1180511,794,RB Bragantino,4,3,10,3,6,4,13,1,0.0,43%,3.0,0.0,9,341,262,77%,1.13,-1.0
527,1180511,119,Internacional,11,9,24,4,18,6,11,9,2.0,57%,2.0,0.0,2,441,371,84%,2.23,-1.0
528,1180630,121,Palmeiras,8,3,15,4,9,6,15,7,2.0,43%,2.0,0.0,3,321,254,79%,2.61,0.0
529,1180630,1062,Atletico-MG,3,2,6,1,2,4,10,3,1.0,57%,2.0,0.0,6,426,350,82%,0.29,0.0
530,1180629,120,Botafogo,3,6,15,6,5,10,10,5,2.0,63%,2.0,0.0,4,471,421,89%,1.02,0.0
531,1180629,130,Gremio,4,5,11,2,5,6,14,3,0.0,37%,3.0,1.0,3,285,227,80%,0.79,0.0
532,1180634,152,Juventude,6,5,12,1,5,7,9,4,1.0,52%,1.0,0.0,5,374,313,84%,1.29,0.0
533,1180634,794,RB Bragantino,6,6,15,3,8,7,19,5,0.0,48%,6.0,0.0,5,345,271,79%,1.11,0.0
534,1180631,126,Sao Paulo,8,6,19,5,13,6,18,7,2.0,53%,6.0,0.0,2,385,325,84%,2.7,0.0
535,1180631,131,Corinthians,3,5,11,3,6,5,17,2,2.0,47%,6.0,2.0,5,339,273,81%,0.7,0.0
536,1180633,144,Atletico Goianiense,7,7,16,2,8,8,15,4,2.0,40%,0.0,0.0,2,318,261,82%,1.43,0.0
537,1180633,124,Fluminense,2,7,13,4,8,5,14,3,0.0,60%,2.0,0.0,6,493,423,86%,1.5,0.0
538,1180632,154,Fortaleza EC,6,6,15,3,11,4,18,7,2.0,54%,2.0,0.0,1,457,393,86%,0.75,0.0
539,1180632,1193,Cuiaba,1,1,2,0,1,1,9,3,7.0,46%,4.0,0.0,6,404,321,79%,0.05,0.0
540,1180627,118,Bahia,7,10,21,4,18,3,10,9,0.0,55%,1.0,0.0,1,509,435,85%,2.23,0.0
541,1180627,140,Criciuma,1,1,2,0,2,0,8,1,5.0,45%,2.0,0.0,5,428,356,83%,0.14,0.0
542,1180625,119,Internacional,5,2,10,3,8,2,26,2,0.0,54%,3.0,0.0,3,501,425,85%,2.32,0.0
543,1180625,136,Vitoria,4,1,7,2,6,1,8,6,4.0,46%,1.0,0.0,2,420,353,84%,0.66,0.0
544,1180626,135,Cruzeiro,6,8,15,1,9,6,7,11,1.0,56%,0.0,0.0,3,447,371,83%,0.87,0.0
545,1180626,133,Vasco DA Gama,4,6,13,3,4,9,6,4,0.0,44%,3.0,1.0,5,352,283,80%,1.18,0.0
546,1180628,127,Flamengo,5,3,17,9,10,7,12,6,2.0,70%,2.0,0.0,1,705,638,90%,0.7,0.0
547,1180628,134,Atletico Paranaense,1,3,7,3,4,3,13,1,3.0,30%,2.0,0.0,3,305,231,76%,0.42,0.0
548,1180644,140,Criciuma,5,7,17,5,10,7,16,7,1.0,47%,1.0,0.0,3,380,297,78%,1.35,0.0
549,1180644,144,Atletico Goianiense,3,9,14,2,6,8,7,6,1.0,53%,4.0,0.0,3,439,356,81%,0.39,0.0
550,1180638,124,Fluminense,5,6,14,3,7,7,19,2,1.0,47%,8.0,0.0,4,382,311,81%,1.55,0.0
551,1180638,135,Cruzeiro,5,6,13,2,10,3,16,2,1.0,53%,3.0,0.0,4,433,355,82%,1.5,0.0
552,1180635,130,Gremio,6,5,16,5,10,6,11,10,2.0,38%,2.0,1.0,4,340,261,77%,1.69,-1.0
